                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7466,                 2.2458,                 1.3287,                 0.7786,                 0.1052,                0.10649,                0.06454,                 1.2666,                  1.159,                 1.0426,              0.0033301,              0.0033301,              0.0033301
                      2,                 1.6876,                  1.635,                 1.2736,                0.65843,                0.11309,                0.10566,                0.06282,                 1.3629,                 1.2927,                 1.0742,              0.0065975,              0.0065975,              0.0065975
                      3,                 1.7249,                 1.6195,                 1.2948,                  0.737,                0.09691,                  0.089,                0.05078,                 1.4615,                  1.299,                 1.1349,              0.0097988,              0.0097988,              0.0097988
                      4,                 1.7418,                 1.5835,                 1.3045,                0.64101,                0.11728,                0.10203,                0.05913,                 1.3755,                 1.1727,                 1.0967,               0.009703,               0.009703,               0.009703
                      5,                 1.7045,                 1.4902,                 1.2785,                0.74737,                0.12881,                0.11465,                0.06605,                 1.3361,                 1.1167,                 1.0795,               0.009604,               0.009604,               0.009604
                      6,                 1.6708,                 1.4363,                 1.2654,                 0.6268,                0.13148,                0.13051,                0.07662,                 1.3017,                 1.0484,                 1.0626,               0.009505,               0.009505,               0.009505
                      7,                  1.656,                 1.3928,                 1.2529,                0.51263,                0.13996,                0.13175,                0.07912,                 1.2892,                 1.0276,                 1.0529,               0.009406,               0.009406,               0.009406
                      8,                 1.6423,                 1.3683,                 1.2434,                0.64983,                0.13231,                0.13299,                0.07916,                 1.2962,                 1.0322,                  1.054,               0.009307,               0.009307,               0.009307
                      9,                 1.6249,                 1.3459,                 1.2356,                0.55818,                0.14449,                0.13754,                0.08211,                 1.2376,                0.99308,                 1.0413,               0.009208,               0.009208,               0.009208
                     10,                 1.6043,                 1.3184,                 1.2239,                0.45848,                0.15546,                0.14544,                0.08722,                 1.2274,                 0.9761,                 1.0357,               0.009109,               0.009109,               0.009109
                     11,                 1.5995,                 1.3113,                 1.2218,                0.61792,                0.14112,                0.14412,                0.08705,                 1.2315,                0.96313,                 1.0325,                0.00901,                0.00901,                0.00901
                     12,                 1.5876,                 1.2916,                 1.2163,                0.52457,                0.17173,                0.15364,                0.09321,                 1.2155,                0.94898,                 1.0279,               0.008911,               0.008911,               0.008911
                     13,                 1.5817,                  1.276,                 1.2096,                0.54189,                0.16478,                0.15908,                0.09813,                 1.1899,                0.93689,                 1.0143,               0.008812,               0.008812,               0.008812
                     14,                 1.5772,                 1.2712,                 1.2057,                0.55179,                0.15571,                0.16341,                0.09856,                 1.2023,                0.92436,                 1.0242,               0.008713,               0.008713,               0.008713
                     15,                 1.5676,                   1.26,                 1.2014,                  0.607,                0.16037,                0.16532,                0.10019,                 1.1951,                0.91963,                 1.0184,               0.008614,               0.008614,               0.008614
                     16,                 1.5643,                 1.2553,                 1.1992,                0.47156,                0.17651,                0.16757,                0.10254,                 1.1787,                0.90788,                 1.0148,               0.008515,               0.008515,               0.008515
                     17,                 1.5543,                 1.2453,                 1.1924,                0.49473,                0.16293,                0.16829,                0.10317,                 1.1721,                0.89923,                 1.0073,               0.008416,               0.008416,               0.008416
                     18,                  1.551,                 1.2327,                 1.1882,                0.59148,                0.16651,                0.16904,                0.10324,                 1.1732,                0.89897,                  1.008,               0.008317,               0.008317,               0.008317
                     19,                 1.5496,                 1.2315,                 1.1918,                0.57061,                0.16767,                0.17152,                0.10646,                 1.1667,                0.88472,                 1.0033,               0.008218,               0.008218,               0.008218
                     20,                  1.539,                 1.2162,                 1.1843,                0.36589,                0.19195,                0.17672,                0.10953,                 1.1555,                0.87946,                 1.0047,               0.008119,               0.008119,               0.008119
                     21,                 1.5336,                 1.2111,                 1.1817,                0.61477,                0.16602,                0.17713,                0.10964,                 1.1564,                0.87454,                0.99605,                0.00802,                0.00802,                0.00802
                     22,                 1.5319,                  1.208,                 1.1795,                0.46532,                0.19426,                0.18085,                0.11193,                 1.1493,                0.86773,                0.99881,               0.007921,               0.007921,               0.007921
                     23,                 1.5255,                 1.2033,                 1.1793,                0.47068,                0.19319,                0.18172,                0.11238,                 1.1482,                 0.8654,                0.99844,               0.007822,               0.007822,               0.007822
                     24,                 1.5136,                 1.1907,                 1.1718,                0.47469,                0.18492,                0.18386,                0.11394,                   1.14,                 0.8569,                  0.996,               0.007723,               0.007723,               0.007723
                     25,                 1.5099,                 1.1864,                 1.1693,                0.48642,                0.18722,                 0.1889,                0.11788,                  1.136,                 0.8492,                0.99117,               0.007624,               0.007624,               0.007624
                     26,                 1.5031,                 1.1787,                 1.1658,                0.61228,                0.17583,                0.19015,                 0.1188,                 1.1297,                0.84334,                0.99064,               0.007525,               0.007525,               0.007525
                     27,                  1.506,                 1.1836,                 1.1682,                 0.6051,                0.19195,                0.19129,                0.11935,                 1.1292,                0.84212,                0.99089,               0.007426,               0.007426,               0.007426
                     28,                 1.4952,                 1.1679,                 1.1616,                0.51281,                0.18494,                 0.1915,                0.11889,                 1.1233,                0.83916,                0.98675,               0.007327,               0.007327,               0.007327
                     29,                 1.4874,                 1.1683,                 1.1567,                0.48304,                0.19796,                0.19375,                0.12085,                 1.1179,                0.83605,                0.98421,               0.007228,               0.007228,               0.007228
                     30,                 1.4787,                 1.1675,                  1.154,                0.48873,                0.19184,                0.19465,                0.12024,                  1.117,                0.83406,                0.98419,               0.007129,               0.007129,               0.007129
                     31,                  1.477,                 1.1597,                 1.1547,                0.51619,                0.18636,                0.19491,                0.12123,                 1.1128,                0.83345,                0.98377,                0.00703,                0.00703,                0.00703
                     32,                 1.4702,                 1.1585,                 1.1503,                0.54644,                0.18303,                0.19657,                0.12239,                 1.1099,                0.82546,                0.98323,               0.006931,               0.006931,               0.006931
                     33,                 1.4673,                 1.1503,                 1.1488,                 0.5182,                0.18517,                0.19745,                0.12339,                 1.1096,                0.82367,                 0.9818,               0.006832,               0.006832,               0.006832
                     34,                 1.4652,                 1.1456,                 1.1462,                0.36934,                0.20464,                 0.1996,                0.12494,                 1.1046,                0.82035,                0.97981,               0.006733,               0.006733,               0.006733
                     35,                 1.4544,                 1.1434,                 1.1454,                 0.5099,                0.19109,                0.20136,                0.12569,                 1.1048,                0.81713,                0.97908,               0.006634,               0.006634,               0.006634
                     36,                 1.4562,                 1.1388,                 1.1437,                0.50733,                0.19945,                0.20323,                0.12763,                 1.1009,                 0.8146,                0.97718,               0.006535,               0.006535,               0.006535
                     37,                 1.4552,                 1.1378,                 1.1416,                0.49374,                0.20588,                0.20482,                0.12785,                 1.0977,                0.81208,                0.97457,               0.006436,               0.006436,               0.006436
                     38,                 1.4449,                 1.1189,                 1.1394,                0.50284,                0.19415,                0.20201,                0.12758,                 1.1003,                0.80857,                0.97565,               0.006337,               0.006337,               0.006337
                     39,                 1.4423,                 1.1253,                 1.1369,                0.50623,                0.20014,                0.20348,                0.12792,                 1.0989,                0.80731,                 0.9745,               0.006238,               0.006238,               0.006238
                     40,                 1.4399,                 1.1209,                 1.1334,                 0.4901,                0.20001,                0.20397,                0.12862,                 1.0958,                0.80376,                0.97306,               0.006139,               0.006139,               0.006139
                     41,                 1.4344,                 1.1229,                 1.1351,                0.48722,                0.21221,                0.20925,                0.13173,                 1.0954,                0.80338,                0.97419,                0.00604,                0.00604,                0.00604
                     42,                 1.4352,                 1.1153,                 1.1299,                0.48924,                0.21289,                0.21055,                0.13221,                 1.0928,                0.80243,                0.97283,               0.005941,               0.005941,               0.005941
                     43,                 1.4254,                 1.1096,                 1.1263,                0.50662,                0.20508,                0.21131,                 0.1332,                 1.0929,                0.80081,                0.97205,               0.005842,               0.005842,               0.005842
                     44,                 1.4228,                 1.1057,                 1.1269,                 0.4901,                0.20546,                0.21101,                 0.1336,                 1.0943,                0.79791,                0.97274,               0.005743,               0.005743,               0.005743
                     45,                 1.4172,                 1.0998,                 1.1235,                0.48779,                0.20734,                0.20957,                0.13232,                 1.0918,                0.79605,                0.97245,               0.005644,               0.005644,               0.005644
                     46,                 1.4185,                 1.0997,                 1.1243,                0.45581,                0.21817,                0.21096,                0.13281,                 1.0897,                0.79503,                0.97123,               0.005545,               0.005545,               0.005545
                     47,                  1.414,                 1.0985,                 1.1216,                0.43292,                0.21871,                0.21333,                0.13377,                 1.0889,                 0.7933,                0.97056,               0.005446,               0.005446,               0.005446
                     48,                 1.4091,                 1.0903,                 1.1178,                0.51618,                0.21159,                0.21572,                0.13531,                 1.0875,                0.79286,                0.97015,               0.005347,               0.005347,               0.005347
                     49,                 1.4034,                 1.0831,                 1.1178,                0.42333,                0.21791,                0.21348,                 0.1343,                 1.0853,                0.79228,                0.96872,               0.005248,               0.005248,               0.005248
                     50,                  1.407,                 1.0883,                 1.1167,                0.41978,                0.21985,                 0.2145,                 0.1345,                  1.084,                0.79151,                0.96806,               0.005149,               0.005149,               0.005149
                     51,                 1.4031,                 1.0827,                 1.1147,                0.41683,                0.21605,                0.21465,                0.13468,                 1.0832,                0.79118,                0.96752,                0.00505,                0.00505,                0.00505
                     52,                 1.4033,                 1.0848,                 1.1146,                0.45201,                0.21804,                 0.2152,                0.13541,                  1.082,                0.79006,                0.96661,               0.004951,               0.004951,               0.004951
                     53,                 1.3921,                 1.0737,                 1.1106,                0.41291,                0.21442,                0.21454,                0.13476,                 1.0813,                0.78899,                0.96659,               0.004852,               0.004852,               0.004852
                     54,                 1.3901,                 1.0759,                 1.1119,                0.50152,                0.21412,                 0.2145,                0.13469,                 1.0803,                0.78786,                0.96643,               0.004753,               0.004753,               0.004753
                     55,                 1.3887,                 1.0673,                 1.1082,                0.50441,                0.21379,                0.21526,                0.13579,                 1.0792,                 0.7866,                0.96607,               0.004654,               0.004654,               0.004654
                     56,                 1.3859,                 1.0661,                 1.1068,                 0.5208,                0.20862,                0.21724,                0.13627,                  1.078,                0.78538,                0.96587,               0.004555,               0.004555,               0.004555
                     57,                 1.3729,                 1.0581,                 1.1032,                0.52782,                0.20766,                0.21775,                0.13652,                 1.0775,                0.78474,                0.96556,               0.004456,               0.004456,               0.004456
                     58,                 1.3753,                 1.0567,                 1.1029,                0.52793,                0.20681,                0.21796,                 0.1369,                 1.0769,                 0.7843,                0.96529,               0.004357,               0.004357,               0.004357
                     59,                 1.3763,                 1.0572,                 1.1019,                0.53186,                0.20521,                 0.2187,                0.13718,                 1.0766,                0.78366,                0.96505,               0.004258,               0.004258,               0.004258
                     60,                 1.3707,                 1.0563,                 1.1006,                0.53598,                0.20345,                0.21953,                0.13743,                 1.0759,                0.78299,                0.96485,               0.004159,               0.004159,               0.004159
                     61,                  1.366,                 1.0495,                 1.1007,                0.53696,                0.20561,                0.21925,                0.13739,                 1.0757,                0.78223,                0.96455,                0.00406,                0.00406,                0.00406
                     62,                 1.3626,                 1.0436,                 1.0984,                0.53654,                0.20674,                0.22038,                0.13754,                  1.075,                0.78184,                0.96429,               0.003961,               0.003961,               0.003961
                     63,                 1.3603,                 1.0459,                 1.0969,                0.52232,                0.21096,                0.21971,                 0.1378,                 1.0739,                0.78135,                0.96394,               0.003862,               0.003862,               0.003862
                     64,                 1.3597,                 1.0358,                 1.0941,                0.50642,                0.21172,                0.22002,                0.13808,                  1.074,                0.78099,                0.96381,               0.003763,               0.003763,               0.003763
                     65,                 1.3573,                 1.0411,                 1.0949,                0.49775,                0.21247,                0.22155,                0.13866,                 1.0736,                0.78082,                0.96346,               0.003664,               0.003664,               0.003664
                     66,                 1.3566,                 1.0383,                 1.0929,                0.47016,                0.21555,                0.22207,                0.13886,                 1.0731,                0.78025,                0.96322,               0.003565,               0.003565,               0.003565
                     67,                 1.3527,                  1.034,                 1.0925,                0.47563,                0.21543,                0.22218,                0.13908,                 1.0724,                0.77988,                0.96306,               0.003466,               0.003466,               0.003466
                     68,                 1.3515,                 1.0309,                 1.0912,                0.47192,                0.21357,                0.22259,                0.13951,                 1.0723,                0.77944,                0.96295,               0.003367,               0.003367,               0.003367
                     69,                 1.3474,                 1.0273,                  1.089,                0.47729,                0.21454,                0.22232,                0.13951,                  1.072,                0.77913,                0.96289,               0.003268,               0.003268,               0.003268
                     70,                 1.3463,                 1.0237,                 1.0897,                0.48128,                0.21429,                0.22251,                0.13968,                 1.0716,                0.77885,                0.96258,               0.003169,               0.003169,               0.003169
                     71,                 1.3426,                 1.0227,                 1.0866,                0.48201,                0.21467,                0.22348,                0.14012,                 1.0713,                0.77861,                0.96245,                0.00307,                0.00307,                0.00307
                     72,                 1.3346,                 1.0217,                 1.0852,                0.48302,                0.21356,                0.22364,                0.14019,                  1.071,                0.77831,                0.96218,               0.002971,               0.002971,               0.002971
                     73,                 1.3367,                 1.0131,                 1.0835,                0.48588,                0.21436,                0.22353,                0.14051,                 1.0708,                  0.778,                 0.9621,               0.002872,               0.002872,               0.002872
                     74,                 1.3294,                 1.0123,                 1.0836,                0.48934,                0.21523,                0.22373,                0.14049,                 1.0704,                0.77786,                0.96189,               0.002773,               0.002773,               0.002773
                     75,                 1.3299,                 1.0147,                 1.0829,                0.49263,                0.21626,                0.22406,                0.14072,                   1.07,                0.77729,                0.96175,               0.002674,               0.002674,               0.002674
                     76,                 1.3281,                 1.0086,                 1.0813,                 0.4902,                0.21648,                0.22446,                0.14087,                 1.0698,                0.77706,                0.96157,               0.002575,               0.002575,               0.002575
                     77,                 1.3278,                 1.0092,                 1.0787,                0.48859,                0.21686,                0.22464,                0.14104,                 1.0697,                0.77673,                0.96139,               0.002476,               0.002476,               0.002476
                     78,                 1.3265,                 1.0079,                 1.0807,                0.46786,                0.21509,                0.22459,                0.14104,                 1.0696,                0.77657,                0.96132,               0.002377,               0.002377,               0.002377
                     79,                  1.327,                 1.0055,                 1.0789,                0.46485,                0.21516,                 0.2248,                0.14114,                 1.0694,                0.77626,                 0.9613,               0.002278,               0.002278,               0.002278
                     80,                 1.3195,                 0.9976,                 1.0766,                0.46864,                0.21469,                0.22504,                0.14124,                 1.0694,                0.77602,                0.96112,               0.002179,               0.002179,               0.002179
                     81,                 1.3187,                0.99832,                  1.076,                0.49191,                0.21589,                0.22497,                0.14134,                 1.0692,                0.77579,                0.96092,                0.00208,                0.00208,                0.00208
                     82,                 1.3142,                 0.9842,                 1.0711,                 0.4909,                0.21601,                0.22472,                0.14125,                 1.0691,                0.77577,                0.96077,               0.001981,               0.001981,               0.001981
                     83,                 1.3094,                0.99125,                 1.0718,                0.49528,                0.21586,                0.22465,                0.14167,                 1.0692,                0.77551,                 0.9607,               0.001882,               0.001882,               0.001882
                     84,                 1.3103,                0.98849,                  1.072,                0.48693,                 0.2154,                0.22457,                0.14158,                 1.0691,                0.77536,                0.96054,               0.001783,               0.001783,               0.001783
                     85,                  1.309,                0.98355,                 1.0698,                0.48315,                0.21418,                0.22514,                0.14153,                  1.069,                0.77532,                0.96036,               0.001684,               0.001684,               0.001684
                     86,                  1.303,                0.98336,                 1.0684,                0.48771,                0.21341,                0.22532,                0.14175,                 1.0688,                0.77517,                0.96017,               0.001585,               0.001585,               0.001585
                     87,                 1.3053,                0.97981,                 1.0696,                0.47737,                0.21334,                0.22528,                0.14187,                 1.0687,                0.77491,                   0.96,               0.001486,               0.001486,               0.001486
                     88,                 1.2994,                 0.9737,                 1.0674,                0.47384,                0.21325,                0.22555,                0.14197,                 1.0683,                0.77456,                0.95988,               0.001387,               0.001387,               0.001387
                     89,                 1.2942,                0.97016,                 1.0658,                0.46489,                0.21408,                0.22536,                0.14204,                 1.0683,                0.77458,                0.95982,               0.001288,               0.001288,               0.001288
                     90,                 1.2914,                0.96668,                 1.0633,                0.45983,                0.21435,                0.22564,                0.14198,                 1.0681,                0.77443,                0.95961,               0.001189,               0.001189,               0.001189
                     91,                 1.3403,                0.94007,                 1.0786,                0.45076,                0.21586,                0.22562,                0.14185,                 1.0682,                0.77438,                0.95949,                0.00109,                0.00109,                0.00109
                     92,                 1.3296,                0.93075,                 1.0746,                0.43975,                0.21735,                0.22561,                0.14216,                 1.0681,                0.77437,                0.95939,               0.000991,               0.000991,               0.000991
                     93,                 1.3252,                0.92761,                 1.0738,                0.43153,                0.21905,                 0.2259,                0.14208,                 1.0679,                0.77413,                0.95928,               0.000892,               0.000892,               0.000892
                     94,                 1.3207,                0.92377,                 1.0717,                0.43083,                0.21892,                0.22604,                0.14218,                 1.0678,                0.77382,                0.95914,               0.000793,               0.000793,               0.000793
                     95,                 1.3184,                0.92318,                   1.07,                 0.4179,                0.22436,                0.22619,                0.14234,                 1.0678,                0.77381,                0.95906,               0.000694,               0.000694,               0.000694
                     96,                 1.3138,                0.91592,                 1.0682,                 0.4166,                0.22382,                0.22656,                0.14265,                 1.0676,                0.77348,                0.95902,               0.000595,               0.000595,               0.000595
                     97,                 1.3088,                0.91248,                 1.0648,                0.41482,                0.22442,                0.22708,                0.14291,                 1.0672,                0.77347,                0.95878,               0.000496,               0.000496,               0.000496
                     98,                 1.3071,                0.90987,                 1.0648,                 0.4137,                0.22423,                 0.2272,                0.14293,                 1.0669,                0.77334,                 0.9586,               0.000397,               0.000397,               0.000397
                     99,                 1.3005,                0.90558,                 1.0613,                0.41247,                0.22406,                0.22741,                0.14314,                 1.0665,                0.77327,                 0.9584,               0.000298,               0.000298,               0.000298
                    100,                 1.3009,                0.90356,                 1.0626,                0.41368,                0.22429,                0.22748,                0.14319,                 1.0663,                0.77318,                0.95832,               0.000199,               0.000199,               0.000199
